,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
33,300669.SZ,20190226,19.37,3.6577,3.6577,1.73,42.7403,43.2926,3.5232,6.3663,6.1563,8524.8104,2570.0,2570.0,165125.5774,49780.9
34,600332.SH,20190226,36.9,3.193,7.02,2.14,29.0988,14.9408,2.7666,2.863,1.7208,162579.0949,107117.925,48721.2614,5999168.6018,3952651.4325
35,002025.SZ,20190226,27.72,1.7091,3.1363,1.01,38.1894,33.9317,4.5733,4.5526,4.29,42900.0,42889.8773,23372.7472,1189188.0,1188907.3988
36,002915.SZ,20190226,23.33,12.0734,12.0734,1.82,55.5452,69.0163,5.6473,6.5228,5.7713,11200.0,3388.25,3388.25,261296.0,79047.8725
37,603089.SH,20190226,19.15,8.9701,8.9701,2.07,28.3696,27.7689,2.752,2.4228,2.125,10667.0,3145.488,3145.488,204273.05,60236.0952
38,601860.SH,20190226,7.24,46.4847,46.4847,1.77,23.2975,21.0858,2.2336,7.3176,6.2763,366088.8889,36608.8889,36608.8889,2650483.5556,265048.3556
39,600131.SH,20190226,13.28,8.7063,13.6642,4.07,83.6614,51.2883,5.4193,8.1486,6.3161,50412.5155,40765.8931,25974.6397,669478.2058,541371.0604
40,002628.SZ,20190226,5.71,11.3801,20.1174,3.79,193.676,197.7697,1.5807,2.1856,1.5833,76066.6215,72357.2463,40931.1484,434340.4088,413159.8764
41,600665.SH,20190226,3.98,1.295,3.0481,1.93,13.5359,7.8233,1.0355,0.8696,0.6474,86412.2521,86412.2521,36712.1583,343920.7634,343920.7634
42,000540.SZ,20190226,4.7,5.7532,10.0127,2.02,15.8174,6.3845,1.6078,2.0847,2.7485,700525.4679,650553.0637,373802.8431,3292469.6991,3057599.3994
43,300629.SZ,20190226,19.54,10.8386,12.5837,1.68,79.2898,83.1054,5.5039,7.8035,7.8052,10000.005,4326.6568,3726.6568,195400.0977,84542.8739
44,300382.SZ,20190226,6.46,2.0073,5.1221,1.6,26.7237,22.4341,3.6663,6.6483,5.2048,56456.9415,56451.2717,22122.1823,364711.8421,364675.2152
45,600774.SH,20190226,12.48,0.8157,2.3345,1.19,172.0023,143.1567,4.8058,2.7977,2.6256,22694.8002,22675.7731,7922.8818,283231.1065,282993.6483
46,603318.SH,20190226,13.27,1.9544,5.3408,1.75,97.5489,388.4003,5.1898,9.4879,11.5049,40330.2277,40216.2277,14716.2277,535182.1216,533669.3416
47,000750.SZ,20190226,5.88,12.3793,18.7572,1.79,65.966,290.3975,1.8246,9.323,11.7104,421554.1972,421553.8597,278214.6844,2478738.6795,2478736.695
48,300190.SZ,20190226,5.57,1.2539,2.302,1.46,31.475,23.593,1.2443,3.0793,2.3137,78378.4957,71483.0677,38935.8421,436568.221,398160.6871
49,603908.SH,20190226,23.57,4.4991,5.6402,1.93,31.408,38.5907,3.458,3.0465,2.8211,6669.0,2304.9305,1838.5747,157188.33,54327.2119
50,002199.SZ,20190226,10.59,1.5684,2.0187,1.18,1730.205,,5.8314,11.1063,12.874,24344.2363,22613.6384,17569.5301,257805.4624,239478.4307
51,300109.SZ,20190226,16.56,9.0686,15.8669,2.52,38.8806,36.9245,3.1003,7.3867,5.8127,21793.6025,12784.3925,7306.8179,360902.0574,211709.5398
52,000070.SZ,20190226,14.31,18.7207,32.4455,2.47,33.7783,34.7682,4.2256,1.6394,1.5617,62699.4746,60030.6629,34637.1337,897229.4815,859038.7861
53,300566.SZ,20190226,15.14,7.5041,12.7151,1.0,38.8894,38.1078,4.819,3.1827,2.6658,15520.05,9458.3267,5582.0739,234973.557,143199.0662
